commit,subject,scope heuristic,patch check against 54c676ebf,file count,paths
f0234f1449ab8a6d52d45a9e1ec19cc675b40fe9,"fix(desktop): eliminate mounted-view CPU burn — compositor-safe shimmer, observer append fast path, poll-tick disk reads (#6198)",client,conflict or missing prerequisite,9,desktop/src-tauri/src/commands/agent_models.rs | desktop/src-tauri/src/commands/agent_models_update.rs | desktop/src-tauri/src/commands/agent_settings.rs | desktop/src-tauri/src/commands/agents.rs | desktop/src-tauri/src/managed_agents/runtime.rs | desktop/src/features/agents/observerRelayStore.ts | desktop/src/features/agents/observerTranscriptRetention.test.mjs | desktop/src/shared/styles/globals/animations.css | desktop/src/shared/ui/Shimmer.tsx
6d45f98665004d314468d98e50084996f4046cdf,ci: make file-size policy a first-class gate (#6187),build/release,conflict or missing prerequisite,8,.github/workflows/ci.yml | AGENTS.md | Justfile | desktop/package.json | lefthook.yml | scripts/check-file-sizes-core.mjs | scripts/check-file-sizes-core.test.mjs | web/package.json
081910424a5b6f01b283ad632b0718240c6b3cbf,fix(desktop): bind presence retry timers (#6213),client,conflict or missing prerequisite,2,desktop/src/features/presence/lib/presenceSubscriptionReconciler.test.mjs | desktop/src/features/presence/lib/presenceSubscriptionReconciler.ts
cc8a8b0dcbf5c01311b2ac7e1827ff3e582299f3,fix: bump h2 for RUSTSEC-2026-0258 (#6222),build/release,conflict or missing prerequisite,1,Cargo.lock
3fdf289b78c40f80abce86575c25b5ed6361d82c,fix(desktop): bound remote agent mention authorization (#6224),client,conflict or missing prerequisite,9,desktop/src-tauri/src/commands/agent_discovery.rs | desktop/src-tauri/src/commands/agent_discovery/relay_directory.rs | desktop/src-tauri/src/lib.rs | desktop/src/features/messages/lib/agentMentionRevalidation.test.mjs | desktop/src/features/messages/lib/agentMentionRevalidation.ts | desktop/src/features/messages/lib/useMentions.ts | desktop/src/shared/api/tauriRelayAgents.ts | desktop/src/testing/e2eBridge.ts | desktop/tests/e2e/mentions.spec.ts
5694e78def8b6ea674e101c1c988a5f17c9baf9d,fix(mcp): scope todo usage (#6216),runtime/auth/data,applies,1,crates/buzz-dev-mcp/src/lib.rs
d2cfd377e27dab8fdef0236dd8e92c89efbae829,fix(prompt): simplify pickup follow-through (#6186),runtime/auth/data,applies,1,crates/buzz-acp/src/base_prompt.md
8232299cbe6d90692fac3de46cde0ec123edd6c1,chore(release): release Buzz Desktop version 0.5.17 (#6234),build/release,applies,6,.release/desktop-candidate.json | CHANGELOG.md | desktop/package.json | desktop/src-tauri/Cargo.lock | desktop/src-tauri/Cargo.toml | desktop/src-tauri/tauri.conf.json
417eea2230c1864e8c77f6440dbcfa109bfb63f6,Polish mobile timeline navigation (#5874),client,applies,13,mobile/ios/Runner.xcodeproj/project.pbxproj | mobile/ios/Runner/AppDelegate.swift | mobile/ios/Runner/JumpToLatestGlassButton.swift | mobile/ios/Runner/StickyDateGlassHeader.swift | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/message_list.dart | mobile/lib/features/channels/day_divider.dart | mobile/lib/features/channels/jump_to_latest_button.dart | mobile/lib/features/channels/sticky_date_header.dart | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/features/channels/day_divider_test.dart | mobile/test/features/channels/jump_to_latest_button_test.dart | mobile/test/features/channels/sticky_date_header_test.dart
c442a90a176845e3989436f2bb24eb6d0ca79d47,fix(desktop-chrome): preserve balanced layout when sidebar collapses (#6000),client,applies,7,desktop/src/app/AppShell.tsx | desktop/src/app/AppShellChannelSurface.tsx | desktop/src/features/sidebar/ui/CommunityRail.tsx | desktop/src/shared/ui/sidebar.tsx | desktop/tests/e2e/community-rail.spec.ts | desktop/tests/e2e/sidebar-offcanvas-rail.spec.ts | desktop/tests/e2e/sidebar.spec.ts
d7e8fdb10ca5e055b7af6d22f67d9a8f42cec8ed,fix(shared-ui): delay hover disclosures by default (#5821),client,applies,17,desktop/src/features/channels/ui/AddChannelBotTeamsSection.tsx | desktop/src/features/channels/ui/BotActivityBar.tsx | desktop/src/features/communities/ui/CommunitySwitcher.tsx | desktop/src/features/home/ui/InboxDetailPane.tsx | desktop/src/features/messages/ui/MessageReactions.tsx | desktop/src/features/messages/ui/MessageTimeline.tsx | desktop/src/features/messages/ui/MessageTimestamp.tsx | desktop/src/features/profile/ui/UserProfilePopover.tsx | desktop/src/features/sidebar/ui/ChannelActivityPopover.tsx | desktop/src/main.tsx | desktop/src/shared/ui/PubKey.tsx | desktop/src/shared/ui/markdown/InlineEmojiPopover.tsx | desktop/src/shared/ui/popover.tsx | desktop/src/shared/ui/sidebar.tsx | desktop/src/shared/ui/tooltip.tsx | desktop/tests/e2e/community-rail.spec.ts | desktop/tests/e2e/composer-tooltip-dismiss.spec.ts
b74700daafa823e56c60b4e6470740ab28330888,chore(hooks): keep mobile analysis out of pre-commit (#6236),docs/tooling,conflict or missing prerequisite,1,lefthook.yml
50a71137e6f1c56f66e2f7348a917b2d2a1798f0,feat(managed-agents): close five Claude Code agent-config gaps (#4557),runtime/auth/data,conflict or missing prerequisite,63,crates/buzz-acp/src/acp.rs | crates/buzz-acp/src/config.rs | crates/buzz-acp/src/lib.rs | crates/buzz-acp/src/pool.rs | crates/buzz-backend-kubernetes/src/env.rs | desktop/src-tauri/src/commands/agent_config.rs | desktop/src-tauri/src/commands/agent_config_tests.rs | desktop/src-tauri/src/commands/agents.rs | desktop/src-tauri/src/commands/agents_deploy.rs | desktop/src-tauri/src/commands/agents_tests.rs | desktop/src-tauri/src/commands/personas/delete_cascade_tests.rs | desktop/src-tauri/src/commands/personas/inbound/inbound_tests.rs | desktop/src-tauri/src/commands/personas/snapshot/fidelity_tests.rs | desktop/src-tauri/src/commands/personas/snapshot/import.rs | desktop/src-tauri/src/commands/personas/snapshot/tests.rs | desktop/src-tauri/src/commands/personas/update/name_propagation_tests.rs | desktop/src-tauri/src/commands/team_snapshot.rs | desktop/src-tauri/src/commands/team_snapshot/tests.rs | desktop/src-tauri/src/lib.rs | desktop/src-tauri/src/managed_agents/agent_events.rs | desktop/src-tauri/src/managed_agents/agent_snapshot_envelope.rs | desktop/src-tauri/src/managed_agents/agent_snapshot_tests.rs | desktop/src-tauri/src/managed_agents/claude_config/mod.rs | desktop/src-tauri/src/managed_agents/claude_config/tests.rs | desktop/src-tauri/src/managed_agents/config_bridge/claude.rs | desktop/src-tauri/src/managed_agents/config_bridge/reader.rs | desktop/src-tauri/src/managed_agents/config_bridge/reader_tests.rs | desktop/src-tauri/src/managed_agents/config_bridge/reader_tests_ext.rs | desktop/src-tauri/src/managed_agents/config_bridge/types.rs | desktop/src-tauri/src/managed_agents/discovery/tests.rs | desktop/src-tauri/src/managed_agents/effective_config/tests.rs | desktop/src-tauri/src/managed_agents/global_config/tests.rs | desktop/src-tauri/src/managed_agents/mod.rs | desktop/src-tauri/src/managed_agents/nest/tests.rs | desktop/src-tauri/src/managed_agents/parallelism.rs | desktop/src-tauri/src/managed_agents/persona_events/tests.rs | desktop/src-tauri/src/managed_agents/readiness.rs | desktop/src-tauri/src/managed_agents/runtime.rs | desktop/src-tauri/src/managed_agents/runtime/test_fixtures.rs | desktop/src-tauri/src/managed_agents/spawn_snapshot.rs | desktop/src-tauri/src/managed_agents/spawn_snapshot/diff.rs | desktop/src-tauri/src/managed_agents/spawn_snapshot/diff/tests.rs | desktop/src-tauri/src/managed_agents/spawn_snapshot/tests.rs | desktop/src-tauri/src/managed_agents/spawn_snapshot/tests_ext.rs | desktop/src-tauri/src/managed_agents/team_snapshot.rs | desktop/src-tauri/src/managed_agents/teams_tests.rs | desktop/src-tauri/src/managed_agents/types.rs | desktop/src-tauri/src/managed_agents/types/relay_mesh.rs | desktop/src/features/agents/AGENTS.md | desktop/src/features/agents/lib/liveSwitchOutcome.test.mjs | desktop/src/features/agents/lib/liveSwitchOutcome.ts | desktop/src/features/agents/observerRelayStore.ts | desktop/src/features/agents/ui/AgentConfigPanel.tsx | desktop/src/features/agents/ui/AgentInstanceEditDialog.tsx | desktop/src/features/agents/ui/EffortPickerField.tsx | desktop/src/features/agents/ui/McpServersSection.test.mjs | desktop/src/features/agents/ui/McpServersSection.tsx | desktop/src/features/agents/ui/ModelPicker.tsx | desktop/src/features/agents/ui/effortPicker.test.mjs | desktop/src/features/agents/ui/effortPicker.ts | desktop/src/shared/api/agentControl.ts | desktop/src/shared/api/tauriManagedAgents.ts | desktop/src/shared/api/types.ts
4f9727a4b3d76389f862faa15241e16e2dd36108,chore(scripts): add buzz-adopt-prod-agents.sh (#6250),docs/tooling,applies,1,scripts/buzz-adopt-prod-agents.sh
40f1dac6913d04c87d72610a69ed53bd12377b84,Refine mobile pairing confirmation (#6018),client,applies,6,mobile/README.md | mobile/android/.gitignore | mobile/android/app/build.gradle.kts | mobile/lib/features/pairing/pairing_page.dart | mobile/test/features/pairing/pairing_page_test.dart | scripts/test-mobile-worktree-overrides.sh
78267b0c3a75840d035ff0cc9ad1984def773886,Polish mobile message actions (#5873),client,conflict or missing prerequisite,21,mobile/ios/Runner.xcodeproj/project.pbxproj | mobile/ios/Runner/AppDelegate.swift | mobile/ios/Runner/NativeMessageActionSurface.swift | mobile/ios/RunnerTests/RunnerTests.swift | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/message_bubble.dart | mobile/lib/features/channels/channel_detail_page/message_list.dart | mobile/lib/features/channels/compose_bar/compose_bar_widget.dart | mobile/lib/features/channels/compose_bar/helpers.dart | mobile/lib/features/channels/message_actions.dart | mobile/lib/features/channels/message_actions/message_action_popover.dart | mobile/lib/features/channels/message_actions/message_reaction_tray.dart | mobile/lib/features/channels/message_actions/quick_reaction_row.dart | mobile/lib/features/channels/message_actions/reaction_popover.dart | mobile/lib/features/channels/message_long_press_region.dart | mobile/lib/features/channels/thread_detail_page.dart | mobile/lib/features/channels/thread_detail_page/avatar.dart | mobile/lib/features/channels/thread_detail_page/thread_message.dart | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/features/channels/compose_bar_test.dart | mobile/test/features/channels/message_actions_test.dart
6ea7a2b2211438359b227a9991cf8ccad2927fe2,fix(desktop): preserve early relay auth challenges (#3320),client,conflict or missing prerequisite,7,desktop/src/shared/api/relayAuthPolicy.ts | desktop/src/shared/api/relayClientSession.ts | desktop/src/shared/api/relayInboundBuffer.test.mjs | desktop/src/shared/api/relayInboundBuffer.ts | desktop/src/testing/e2eBridge.ts | desktop/tests/e2e/relay-reconnect.spec.ts | desktop/tests/helpers/bridge.ts
e2ade93f02f6d1b4db23e0c442a2c65608e54d36,fix(desktop): downscale large avatars for agent-share PNG body (#6260),client,applies,6,desktop/src-tauri/src/managed_agents/agent_snapshot.rs | desktop/src-tauri/src/managed_agents/agent_snapshot_tests.rs | desktop/src/features/agents/ui/AgentCardViewerDialog.tsx | desktop/src/features/agents/ui/PersonaShareDialog.tsx | desktop/src/features/agents/ui/useSnapshotSendController.ts | desktop/tests/e2e/agents.spec.ts
6e8d078ffe1ab27b8dde6bb697551b7d2d1a85b5,fix(desktop): emit camelCase config-write payload fields (#6062),client,applies,2,desktop/src-tauri/src/managed_agents/config_bridge/types.rs | desktop/src/testing/e2eBridge.ts
7e2651791d598a3938ef4560a41801223fb9b2c9,Add font size and conversation density preferences (#5644),client,conflict or missing prerequisite,34,AGENTS.md | desktop/src/app/useWebviewZoomShortcuts.ts | desktop/src/features/home/ui/InboxListPane.tsx | desktop/src/features/home/ui/InboxMessageRow.tsx | desktop/src/features/messages/lib/useRichTextEditor.ts | desktop/src/features/messages/ui/DiffViewer.css | desktop/src/features/messages/ui/MessageHeader.tsx | desktop/src/features/messages/ui/MessageRow.tsx | desktop/src/features/messages/ui/MessageTimestamp.tsx | desktop/src/features/settings/ui/AppearanceSettingsControls.tsx | desktop/src/features/settings/ui/SettingsOptionGroup.tsx | desktop/src/features/settings/ui/SettingsPanels.tsx | desktop/src/main.tsx | desktop/src/shared/lib/cn.ts | desktop/src/shared/lib/conversationDensityPreference.test.mjs | desktop/src/shared/lib/conversationDensityPreference.ts | desktop/src/shared/lib/fontSizePreference.test.mjs | desktop/src/shared/lib/fontSizePreference.ts | desktop/src/shared/styles/globals.css | desktop/src/shared/styles/globals/avatar-framing.css | desktop/src/shared/styles/globals/components.css | desktop/src/shared/styles/globals/composer.css | desktop/src/shared/styles/globals/terminal.css | desktop/src/shared/styles/globals/typography.css | desktop/src/shared/ui/markdown.tsx | desktop/src/shared/ui/segmented-control.tsx | desktop/tailwind.config.js | desktop/tests/e2e/agents.spec.ts | desktop/tests/e2e/buzz-theme-screenshots.spec.ts | desktop/tests/e2e/entity-link-recipient-cards.spec.ts | desktop/tests/e2e/inbox-refactor-screenshots.spec.ts | desktop/tests/e2e/mobile-pairing-qr.spec.ts | desktop/tests/e2e/profile.spec.ts | desktop/tests/e2e/top-chrome-zoom-clearance.spec.ts
121e4b3ce7acab6ac310257f444997f58a97cb2e,"fix(desktop): exclude archived agents from nest, order regeneration (#5905)",runtime/auth/data,conflict or missing prerequisite,8,crates/buzz-relay/src/handlers/identity_archive.rs | crates/buzz-relay/src/handlers/side_effects.rs | desktop/src-tauri/src/commands/identity_archive.rs | desktop/src-tauri/src/egress_guard_tests.rs | desktop/src-tauri/src/managed_agents/nest.rs | desktop/src-tauri/src/managed_agents/nest/render_tests.rs | desktop/src-tauri/src/managed_agents/nest/tests.rs | desktop/src-tauri/src/relay.rs
359fe646758d253ee94bf054a87904efd1dce7d1,Refine the mobile emoji picker (#5853),client,conflict or missing prerequisite,12,mobile/ios/Runner.xcodeproj/project.pbxproj | mobile/ios/Runner/AppDelegate.swift | mobile/ios/Runner/NativeEmojiPicker.swift | mobile/ios/Runner/NativeEmojiPickerModel.swift | mobile/ios/Runner/NativeEmojiPickerView.swift | mobile/ios/RunnerTests/RunnerTests.swift | mobile/lib/features/channels/emoji_picker.dart | mobile/lib/features/channels/emoji_picker/category_rail.dart | mobile/lib/features/channels/emoji_picker/emoji_grid.dart | mobile/lib/features/channels/emoji_picker/ios_native_picker.dart | mobile/lib/features/channels/emoji_picker/search_field.dart | mobile/test/features/channels/emoji_picker_test.dart
a362fecc2389955f942c9581bdfeba379ab115b3,perf(desktop): parallelize relay agent directory rebuild (#6258),client,conflict or missing prerequisite,1,desktop/src-tauri/src/commands/agent_discovery/relay_directory.rs
93114c9c65138397de39729fde0a816eb9f314ab,Fix mobile Activity thread navigation (#5850),client,conflict or missing prerequisite,10,mobile/lib/features/activity/activity_page.dart | mobile/lib/features/channels/channel_detail_page.dart | mobile/lib/features/channels/channel_detail_page/message_list.dart | mobile/lib/features/channels/thread_detail_page.dart | mobile/lib/features/channels/thread_detail_page/thread_message.dart | mobile/lib/shared/widgets/bee_refresh_indicator.dart | mobile/lib/shared/widgets/flapping_bee.dart | mobile/test/features/activity/activity_page_test.dart | mobile/test/features/channels/channel_detail_page_test.dart | mobile/test/shared/widgets/bee_refresh_indicator_test.dart
